ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,payload_entropy,orig_payload_len,has_uri_payload,label
1780957249.274579,C6ff20de17047,192.168.60.1,49006,192.168.60.7,21,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274613,Ce1cf4676c0d3,192.168.60.1,43618,192.168.60.5,1720,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274645,C519153337263,192.168.60.1,38468,192.168.60.6,443,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274718,C66f7e5b9ff17,192.168.60.1,44856,192.168.60.7,443,tcp,1.5e-05,0,0,1,1,0.0,0,0,-1
1780957249.274756,Cf9fda6ede093,192.168.60.1,46442,192.168.60.5,21,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274789,Cfc266dfa6f82,192.168.60.1,46440,192.168.60.6,143,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.274822,Cb7a9be6e4b10,192.168.60.1,41222,192.168.60.7,143,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274855,C91350ee41b4f,192.168.60.1,43648,192.168.60.5,443,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274887,C302ff03efff0,192.168.60.1,47158,192.168.60.6,199,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.27492,C905b318c44ad,192.168.60.1,45998,192.168.60.7,199,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274952,C47c635533561,192.168.60.1,38722,192.168.60.5,143,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.274984,C39fee758bb4c,192.168.60.1,33042,192.168.60.6,111,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.275017,C40e13aca6518,192.168.60.1,41774,192.168.60.7,111,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.27505,Ccec77778bb1a,192.168.60.1,50982,192.168.60.5,199,tcp,1.4e-05,0,0,1,1,0.0,0,0,-1
1780957249.275085,Ccbf41329410a,192.168.60.1,60944,192.168.60.6,995,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.275119,Cbaa19f39a89d,192.168.60.1,33000,192.168.60.7,995,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275151,Cabe68da9de69,192.168.60.1,52140,192.168.60.5,111,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275183,C1dc733aa907f,192.168.60.1,49546,192.168.60.6,23,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.275223,Cca4f9f52d8a8,192.168.60.1,48360,192.168.60.7,23,tcp,1.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.275257,C4cdee4c0db0a,192.168.60.1,58776,192.168.60.5,995,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275289,Cb33911318d22,192.168.60.1,59438,192.168.60.6,25,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275322,Cfcd6b6df240b,192.168.60.1,59698,192.168.60.7,25,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275357,C354fc23e6f47,192.168.60.1,50706,192.168.60.5,23,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275393,C245eb6b98a4d,192.168.60.1,40282,192.168.60.6,53,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275426,C22eaf95621c3,192.168.60.1,54000,192.168.60.7,53,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275458,Ca0b1c437467a,192.168.60.1,39126,192.168.60.5,25,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
1780957249.275491,C4adfbcbc362e,192.168.60.1,38694,192.168.60.6,1723,tcp,1.1e-05,0,0,1,1,0.0,0,0,-1
